Global Step,Epoch,Training Loss,Validation Loss,Gradient Norm,Learning Rate
1,0.0160,8.1939,NaN,72.8259,0.00005
2,0.0320,7.8071,NaN,35.4247,0.000049
3,0.0480,8.1213,NaN,63.8375,0.000048
4,0.0640,7.2187,NaN,49.3769,0.000047
5,0.0800,5.4457,NaN,51.5673,0.000046
6,0.0960,6.7471,NaN,66.3027,0.000045
7,0.1120,5.6025,NaN,66.3064,0.000044
8,0.1280,6.0853,NaN,63.5964,0.000043
9,0.1440,4.6187,NaN,56.8727,0.000042
10,0.1600,5.2204,NaN,98.3140,0.000041
10,0.1600,NaN,5.3460,NaN,NaN
11,0.1760,4.5850,NaN,66.7067,0.00004
12,0.1920,5.7164,NaN,83.3155,0.000039
13,0.2080,4.0304,NaN,49.0256,0.000038
14,0.2240,4.2324,NaN,61.6293,0.000037
15,0.2400,4.6803,NaN,43.4603,0.000036
16,0.2560,4.7731,NaN,64.4128,0.000035
17,0.2720,4.1812,NaN,67.9529,0.000034
18,0.2880,3.6046,NaN,47.8005,0.000033
19,0.3040,3.8204,NaN,52.6445,0.000032
20,0.3200,3.7712,NaN,40.4818,0.000031
20,0.3200,NaN,3.4730,NaN,NaN
21,0.3360,3.4525,NaN,23.1352,0.00003
22,0.3520,3.0117,NaN,23.5276,0.000029
23,0.3680,3.3284,NaN,38.8266,0.000028
24,0.3840,3.0830,NaN,11.2149,0.000027
25,0.4000,3.7031,NaN,31.5393,0.000026
26,0.4160,2.9545,NaN,7.3401,0.000025
27,0.4320,3.0276,NaN,9.1051,0.000024
28,0.4480,3.0810,NaN,7.5149,0.000023
29,0.4640,3.2474,NaN,19.3881,0.000022
30,0.4800,2.8051,NaN,6.9596,0.000021
30,0.4800,NaN,2.8652,NaN,NaN
31,0.4960,2.9758,NaN,8.8307,0.00002
32,0.5120,2.7611,NaN,8.8702,0.000019
33,0.5280,2.7842,NaN,7.1881,0.000018
34,0.5440,3.0456,NaN,18.9292,0.000017
35,0.5600,2.9123,NaN,9.1520,0.000016
36,0.5760,3.0304,NaN,10.2946,0.000015
37,0.5920,2.9366,NaN,14.3535,0.000014
38,0.6080,2.5280,NaN,13.4340,0.000013
39,0.6240,3.4500,NaN,35.1789,0.000012
40,0.6400,2.8102,NaN,8.0008,0.000011
40,0.6400,NaN,2.6510,NaN,NaN
41,0.6560,2.6035,NaN,5.1376,0.00001
42,0.6720,2.6561,NaN,9.6346,0.000009
43,0.6880,2.6281,NaN,8.0672,0.000008
44,0.7040,3.2771,NaN,10.1991,0.000007
45,0.7200,2.6695,NaN,11.2451,0.000006
46,0.7360,2.9848,NaN,8.8433,0.000005
47,0.7520,2.3366,NaN,8.3558,0.000004
48,0.7680,2.9958,NaN,19.9704,0.000003
49,0.7840,3.1804,NaN,10.5685,0.000002
50,0.8000,2.6138,NaN,16.3026,0.000001
50,0.8000,NaN,2.5751,NaN,NaN
