Global Step,Epoch,Training Loss,Validation Loss,Gradient Norm,Learning Rate
1,0.0160,4.6826,NaN,13.5712,0.00005
2,0.0320,6.5441,NaN,16.6734,0.000049
3,0.0480,6.7633,NaN,13.0369,0.000048
4,0.0640,7.6347,NaN,10.4637,0.000047
5,0.0800,6.6236,NaN,13.0685,0.000046
6,0.0960,7.3696,NaN,15.4756,0.000045
7,0.1120,6.4038,NaN,10.9259,0.000044
8,0.1280,6.7024,NaN,14.6188,0.000043
9,0.1440,5.8641,NaN,9.6838,0.000042
10,0.1600,6.7466,NaN,12.4716,0.000041
10,0.1600,NaN,6.5955,NaN,NaN
11,0.1760,6.2567,NaN,13.2126,0.00004
12,0.1920,6.8294,NaN,13.1687,0.000039
13,0.2080,7.4305,NaN,9.6376,0.000038
14,0.2240,7.2032,NaN,12.2704,0.000037
15,0.2400,6.5657,NaN,10.2363,0.000036
16,0.2560,6.9729,NaN,11.0225,0.000035
17,0.2720,6.8995,NaN,9.7908,0.000034
18,0.2880,6.9355,NaN,16.4045,0.000033
19,0.3040,6.2003,NaN,12.9893,0.000032
20,0.3200,6.6473,NaN,12.3379,0.000031
20,0.3200,NaN,6.5327,NaN,NaN
21,0.3360,5.4518,NaN,11.3768,0.00003
22,0.3520,9.6317,NaN,13.9362,0.000029
23,0.3680,7.5120,NaN,20.6446,0.000028
24,0.3840,5.5641,NaN,14.9402,0.000027
25,0.4000,6.7963,NaN,16.5806,0.000026
26,0.4160,6.5410,NaN,9.6549,0.000025
27,0.4320,6.3283,NaN,14.3988,0.000024
28,0.4480,6.7747,NaN,16.2833,0.000023
29,0.4640,7.1313,NaN,17.3997,0.000022
30,0.4800,6.5761,NaN,9.4291,0.000021
30,0.4800,NaN,6.4779,NaN,NaN
31,0.4960,5.7931,NaN,10.4029,0.00002
32,0.5120,7.4300,NaN,12.2984,0.000019
33,0.5280,6.7305,NaN,14.8045,0.000018
34,0.5440,7.0166,NaN,15.0456,0.000017
35,0.5600,6.7192,NaN,9.5028,0.000016
36,0.5760,5.8774,NaN,12.7633,0.000015
37,0.5920,5.5344,NaN,14.9632,0.000014
38,0.6080,6.4799,NaN,10.9715,0.000013
39,0.6240,4.8720,NaN,18.7470,0.000012
40,0.6400,6.7314,NaN,14.7145,0.000011
40,0.6400,NaN,6.4371,NaN,NaN
41,0.6560,6.4403,NaN,9.9272,0.00001
42,0.6720,7.7541,NaN,20.3250,0.000009
43,0.6880,5.4043,NaN,12.8795,0.000008
44,0.7040,7.8867,NaN,18.0470,0.000007
45,0.7200,6.5642,NaN,18.3589,0.000006
46,0.7360,6.9581,NaN,16.4347,0.000005
47,0.7520,7.1850,NaN,22.9087,0.000004
48,0.7680,4.9691,NaN,19.0970,0.000003
49,0.7840,7.5917,NaN,9.4401,0.000002
50,0.8000,7.3023,NaN,14.2992,0.000001
50,0.8000,NaN,6.4238,NaN,NaN
