Global Step,Epoch,Training Loss,Validation Loss,Gradient Norm,Learning Rate
10,0.0320,6.8146,NaN,63.3605,0.0000486
20,0.0640,4.5334,NaN,28.5466,0.000047
30,0.0960,2.8931,NaN,10.0130,0.0000454
40,0.1280,2.2781,NaN,5.4590,0.0000438
50,0.1600,1.8459,NaN,3.8265,0.0000422
50,0.1600,NaN,1.6503,NaN,NaN
60,0.1920,1.4612,NaN,1.6557,0.0000406
70,0.2240,1.5311,NaN,1.3250,0.000039
80,0.2560,1.4667,NaN,0.8375,0.0000374
90,0.2880,1.2947,NaN,0.7280,0.0000358
100,0.3200,1.4271,NaN,0.7366,0.0000342
100,0.3200,NaN,1.3745,NaN,NaN
110,0.3520,1.3343,NaN,0.9327,0.0000326
120,0.3840,1.3363,NaN,0.8699,0.000031
130,0.4160,1.3013,NaN,0.8787,0.0000294
140,0.4480,1.3202,NaN,0.7236,0.0000278
150,0.4800,1.2743,NaN,0.8219,0.0000262
150,0.4800,NaN,1.3025,NaN,NaN
160,0.5120,1.4293,NaN,1.0981,0.0000246
170,0.5440,1.3882,NaN,0.8057,0.000023
180,0.5760,1.2888,NaN,0.8578,0.0000214
190,0.6080,1.2588,NaN,0.9134,0.0000198
200,0.6400,1.2874,NaN,0.7900,0.0000182
200,0.6400,NaN,1.2779,NaN,NaN
210,0.6720,1.3219,NaN,0.9317,0.0000166
220,0.7040,1.2604,NaN,0.7552,0.000015
230,0.7360,1.2688,NaN,0.9242,0.0000134
240,0.7680,1.2358,NaN,0.9704,0.0000118
250,0.8000,1.3551,NaN,0.8476,0.0000102
250,0.8000,NaN,1.2656,NaN,NaN
260,0.8320,1.2841,NaN,1.0898,0.0000086
270,0.8640,1.1682,NaN,0.8350,0.000007
280,0.8960,1.2408,NaN,0.9201,0.0000054
290,0.9280,1.3047,NaN,0.7818,0.0000038
300,0.9600,1.2241,NaN,0.8182,0.0000022
300,0.9600,NaN,1.2607,NaN,NaN
310,0.9920,1.2838,NaN,1.0061,0.0000006
313,1.0000,NaN,1.2606,NaN,NaN
