Epoch,Global Step,Training Loss,Validation Loss
1,10,4.096,1.8147
1,20,3.4997,1.8147
1,30,3.0066,1.8147
1,40,2.2501,1.8147
1,50,1.662,1.8147
1,60,1.8229,1.8147
1,70,1.7577,1.8147
1,80,1.5374,1.8147
1,90,1.6459,1.8147
1,100,1.1056,1.4628
1,110,1.536,1.4628
1,120,1.1899,1.4628
1,130,1.9516,1.4628
1,140,1.1563,1.4628
1,150,1.7416,1.4258
1,160,0.9681,1.4258
1,170,1.1553,1.4258
1,180,1.2214,1.4258
1,190,1.6517,1.4258
1,200,0.983,1.3946
1,210,1.5657,1.3946
1,220,0.9824,1.3946
1,230,1.6816,1.3946
1,240,1.365,1.3946
1,250,1.1949,1.3653
1,260,0.8953,1.3653
1,270,1.4418,1.3653
1,280,1.1989,1.3653
1,290,1.3825,1.3653
1,300,1.4974,1.339
1,310,1.1708,1.339
