Global Step,Epoch,Training Loss,Validation Loss,Gradient Norm,Learning Rate
10,0.0320,6.9645,NaN,12.8300,0.0000486
20,0.0640,6.5676,NaN,11.0609,0.000047
30,0.0960,5.6732,NaN,12.3091,0.0000454
40,0.1280,6.6016,NaN,18.6799,0.0000438
50,0.1600,5.9334,NaN,17.3875,0.0000422
50,0.1600,NaN,7.2902,NaN,NaN
60,0.1920,5.7865,NaN,18.8495,0.0000406
70,0.2240,5.6221,NaN,16.9916,0.000039
80,0.2560,5.0236,NaN,14.1116,0.0000374
90,0.2880,5.2072,NaN,28.9532,0.0000358
100,0.3200,5.2158,NaN,33.7862,0.0000342
100,0.3200,NaN,3.1756,NaN,NaN
110,0.3520,4.7651,NaN,11.5247,0.0000326
120,0.3840,4.3809,NaN,21.8514,0.000031
130,0.4160,4.2532,NaN,17.7935,0.0000294
140,0.4480,4.5140,NaN,14.0995,0.0000278
150,0.4800,4.2430,NaN,13.4621,0.0000262
150,0.4800,NaN,2.2007,NaN,NaN
160,0.5120,4.1973,NaN,12.3733,0.0000246
170,0.5440,4.0026,NaN,16.7164,0.000023
180,0.5760,3.9170,NaN,5.9972,0.0000214
190,0.6080,3.8810,NaN,15.2269,0.0000198
200,0.6400,3.8116,NaN,14.2125,0.0000182
200,0.6400,NaN,1.9320,NaN,NaN
210,0.6720,3.8895,NaN,17.8926,0.0000166
220,0.7040,3.6693,NaN,10.0925,0.000015
230,0.7360,3.7326,NaN,9.8037,0.0000134
240,0.7680,3.6937,NaN,18.6355,0.0000118
250,0.8000,3.8098,NaN,24.8226,0.0000102
250,0.8000,NaN,1.8312,NaN,NaN
260,0.8320,3.5658,NaN,9.6397,0.0000086
270,0.8640,3.4533,NaN,9.8934,0.000007
280,0.8960,3.7096,NaN,13.0008,0.0000054
290,0.9280,3.8913,NaN,14.6064,0.0000038
300,0.9600,3.6885,NaN,21.2869,0.0000022
300,0.9600,NaN,1.8048,NaN,NaN
310,0.9920,3.8626,NaN,21.2210,0.0000006
