Global Step,Epoch,Training Loss,Validation Loss,Avg Active Layers Train,LR
20,1,9.1541,,13.2,3.00e-05
40,1,2.4201,,13.2,3.00e-05
60,1,5.9188,,13.2,2.99e-05
80,1,2.3968,,13.1,2.99e-05
100,1,2.6993,0.9476,13.1,2.98e-05
120,1,1.9573,0.9476,12.9,2.97e-05
140,1,2.9024,0.9476,12.8,2.96e-05
160,1,1.6860,0.9476,13.1,2.95e-05
180,1,1.3644,0.9476,13.1,2.93e-05
200,1,1.2706,0.7632,12.7,2.92e-05
220,1,2.0820,0.7632,12.7,2.90e-05
240,1,2.6572,0.7632,13.3,2.88e-05
260,1,1.0418,0.7632,13.1,2.86e-05
280,1,0.5449,0.7632,13.2,2.84e-05
300,1,1.1690,0.7480,13.2,2.81e-05
320,1,1.0429,0.7480,12.8,2.79e-05
340,1,1.6438,0.7480,12.9,2.76e-05
360,1,2.7338,0.7480,13.0,2.74e-05
380,1,1.4827,0.7480,13.1,2.71e-05
400,1,1.3721,0.7462,12.9,2.68e-05
420,1,2.1830,0.7462,13.0,2.64e-05
440,1,1.0200,0.7462,12.8,2.61e-05
460,1,0.6851,0.7462,13.2,2.58e-05
480,1,1.9470,0.7462,12.6,2.54e-05
500,1,1.4346,0.7393,13.1,2.50e-05
520,1,1.5100,0.7393,13.0,2.47e-05
540,1,1.1424,0.7393,13.0,2.43e-05
560,1,1.4921,0.7393,13.2,2.39e-05
580,1,1.7022,0.7393,13.0,2.35e-05
600,1,1.8290,0.7336,13.1,2.30e-05
620,1,1.6568,0.7336,13.0,2.26e-05
640,2,1.0973,0.7336,13.0,2.22e-05
660,2,1.1422,0.7336,13.2,2.17e-05
680,2,0.5432,0.7336,12.8,2.13e-05
700,2,1.0629,0.7425,13.2,2.08e-05
720,2,1.1438,0.7425,13.0,2.03e-05
740,2,1.3619,0.7425,13.1,1.99e-05
760,2,1.2285,0.7425,13.3,1.94e-05
780,2,1.6333,0.7425,13.4,1.89e-05
800,2,1.9615,0.7341,12.9,1.84e-05
820,2,0.8685,0.7341,12.9,1.79e-05
840,2,0.6081,0.7341,13.1,1.74e-05
860,2,2.8576,0.7341,12.8,1.69e-05
880,2,1.7330,0.7341,13.3,1.64e-05
900,2,2.0346,0.7348,13.1,1.59e-05
920,2,1.0234,0.7348,13.1,1.54e-05
940,2,2.7160,0.7348,12.9,1.49e-05
960,2,1.0260,0.7348,13.1,1.44e-05
980,2,1.2634,0.7348,13.1,1.39e-05
1000,2,2.2280,0.7298,13.3,1.34e-05
1020,2,1.5334,0.7298,12.9,1.29e-05
1040,2,0.6245,0.7298,13.2,1.24e-05
1060,2,2.0586,0.7298,12.9,1.19e-05
1080,2,0.9166,0.7298,13.0,1.15e-05
1100,2,1.6314,0.7362,12.9,1.10e-05
1120,2,1.2446,0.7362,13.0,1.05e-05
1140,2,0.7106,0.7362,13.2,1.00e-05
1160,2,2.0588,0.7362,13.1,9.54e-06
1180,2,0.7752,0.7362,12.9,9.07e-06
1200,2,0.4418,0.7328,13.0,8.61e-06
1220,2,1.2457,0.7328,13.0,8.16e-06
1240,2,1.6688,0.7328,12.9,7.72e-06
1260,3,0.5520,0.7328,13.1,7.28e-06
1280,3,2.8354,0.7328,13.0,6.86e-06
1300,3,1.0611,0.7353,12.7,6.44e-06
1320,3,1.2372,0.7353,12.9,6.03e-06
1340,3,0.8637,0.7353,12.9,5.63e-06
1360,3,0.8086,0.7353,13.2,5.25e-06
1380,3,1.4277,0.7353,12.8,4.87e-06
1400,3,1.0302,0.7369,12.7,4.51e-06
1420,3,2.4990,0.7369,13.0,4.15e-06
1440,3,0.5398,0.7369,13.0,3.81e-06
1460,3,0.4772,0.7369,12.8,3.48e-06
1480,3,1.4891,0.7369,13.0,3.17e-06
1500,3,1.2192,0.7313,13.2,2.86e-06
1520,3,1.5177,0.7313,12.9,2.58e-06
1540,3,1.2716,0.7313,12.6,2.30e-06
1560,3,1.0796,0.7313,13.1,2.04e-06
1580,3,1.7168,0.7313,13.1,1.80e-06
1600,3,1.9285,0.7345,12.8,1.56e-06
1620,3,0.5888,0.7345,13.0,1.35e-06
1640,3,1.1121,0.7345,12.9,1.15e-06
1660,3,1.6275,0.7345,13.1,9.63e-07
1680,3,1.2858,0.7345,13.0,7.94e-07
1700,3,2.6090,0.7329,12.9,6.40e-07
1720,3,2.2184,0.7329,12.9,5.03e-07
1740,3,0.6302,0.7329,13.0,3.82e-07
1760,3,0.9344,0.7329,13.1,2.78e-07
1780,3,1.0046,0.7329,13.1,1.90e-07
1800,3,0.7942,0.7329,13.0,1.18e-07
1820,3,1.1673,0.7329,13.0,6.36e-08
1840,3,1.8013,0.7329,13.0,2.58e-08
1860,3,1.2774,0.7329,12.8,4.74e-09
