Global Step,Epoch,Training Loss,CE Loss,KD Loss,Gate Loss,Validation Loss,Avg Active Layers,Gumbel Temp,LR
20,1,8.3958,8.0471,0.0000,0.4167,,11.5,1.0000,3.00e-05
40,1,6.1199,5.6613,0.0000,0.5278,,13.5,1.0000,3.00e-05
60,1,2673.5078,1.9848,5344.0000,0.5833,,14.5,1.0000,2.99e-05
80,1,1859.2769,5.8022,3712.0000,0.4444,,12.0,1.0000,2.99e-05
100,1,1619.0310,5.3105,3232.0000,0.4444,4.3287,13.6,1.0000,2.98e-05
120,1,1194.3721,3.9381,2384.0000,0.4722,4.3287,12.5,1.0000,2.97e-05
140,1,1259.2080,5.4424,2512.0000,0.5556,4.3287,14.0,1.0000,2.96e-05
160,1,1250.9733,5.0852,2496.0000,0.5000,4.3287,13.0,1.0000,2.95e-05
180,1,680.6113,7.9567,1352.0000,0.6944,4.3287,16.5,1.0000,2.93e-05
200,1,1084.4525,8.1535,2160.0000,0.4444,6.9228,14.0,1.0000,2.92e-05
220,1,489.5960,5.9263,972.0000,0.6944,6.9228,16.5,1.0000,2.90e-05
240,1,576.2888,7.6603,1144.0000,0.5278,6.9228,13.5,1.0000,2.88e-05
260,1,520.8959,8.5261,1032.0000,0.6944,6.9228,16.5,1.0000,2.86e-05
280,1,551.6876,6.5138,1096.0000,0.5000,6.9228,13.0,1.0000,2.84e-05
300,1,588.3326,7.4592,1168.0000,0.6667,8.3008,14.6,1.0000,2.81e-05
320,1,564.1500,7.3827,1120.0000,0.5278,8.3008,13.5,1.0000,2.79e-05
340,1,289.9232,10.3339,568.0000,0.8056,8.3008,18.5,1.0000,2.76e-05
360,1,332.3560,7.4463,656.0000,0.6944,8.3008,16.5,1.0000,2.74e-05
380,1,245.9618,10.4740,480.0000,0.7778,8.3008,18.0,1.0000,2.71e-05
400,1,269.3244,9.4429,528.0000,0.6667,9.4706,16.8,1.0000,2.68e-05
420,1,409.4433,9.6208,808.0000,0.6944,9.4706,16.5,1.0000,2.64e-05
440,1,340.6145,7.8416,672.0000,0.7500,9.4706,17.5,1.0000,2.61e-05
460,1,99.2334,11.7589,185.0000,0.8889,9.4706,20.0,1.0000,2.58e-05
480,1,93.5320,11.2880,174.0000,0.9167,9.4706,20.5,1.0000,2.54e-05
500,1,261.5184,9.5872,512.0000,0.7778,10.5468,20.1,1.0000,2.50e-05
520,1,154.3426,8.9771,298.0000,0.8889,10.5468,20.0,1.0000,2.47e-05
540,1,60.6309,11.8428,107.5000,0.9722,10.5468,21.5,1.0000,2.43e-05
560,1,97.8572,9.9384,184.0000,0.9167,10.5468,20.5,1.0000,2.39e-05
580,1,63.1018,7.7845,116.5000,0.9722,10.5468,21.5,1.0000,2.35e-05
600,1,59.9669,9.0879,109.0000,0.9444,10.6904,21.2,1.0000,2.30e-05
620,1,38.5258,11.3016,63.7500,1.0000,10.6904,22.0,1.0000,2.26e-05
640,2,113.6193,7.3927,218.0000,0.9444,10.6904,21.0,0.9500,2.22e-05
660,2,90.5255,11.2050,168.0000,0.9444,10.6904,21.0,0.9500,2.17e-05
680,2,63.4615,10.0771,115.0000,0.9444,10.6904,21.0,0.9500,2.13e-05
700,2,54.1899,9.4607,97.0000,0.9722,10.9847,21.6,0.9500,2.08e-05
720,2,28.4036,10.8073,44.0000,1.0000,10.9847,22.0,0.9500,2.03e-05
740,2,38.1579,8.3967,66.0000,0.9722,10.9847,21.5,0.9500,1.99e-05
760,2,31.6652,10.0804,51.2500,1.0000,10.9847,22.0,0.9500,1.94e-05
780,2,164.2591,6.8101,320.0000,0.8889,10.9847,20.0,0.9500,1.89e-05
800,2,31.6671,11.5842,49.7500,1.0000,10.8419,21.7,0.9500,1.84e-05
820,2,18.7977,11.8455,23.7500,1.0000,10.8419,22.0,0.9500,1.79e-05
840,2,157.1812,8.5863,304.0000,0.9167,10.8419,20.5,0.9500,1.74e-05
860,2,12.4835,9.7170,13.2500,1.0000,10.8419,22.0,0.9500,1.69e-05
880,2,28.6380,10.6070,44.7500,0.9722,10.8419,21.5,0.9500,1.64e-05
900,2,103.8802,7.9844,198.0000,0.9167,10.7844,21.9,0.9500,1.59e-05
920,2,13.7395,10.6666,14.8125,1.0000,10.7844,22.0,0.9500,1.54e-05
940,2,11.0975,7.6949,12.5000,1.0000,10.7844,22.0,0.9500,1.49e-05
960,2,35.2406,11.5622,57.0000,0.9722,10.7844,21.5,0.9500,1.44e-05
980,2,12.2790,10.2454,12.3125,1.0000,10.7844,22.0,0.9500,1.39e-05
1000,2,64.3690,8.3920,118.5000,0.9444,10.8357,21.9,0.9500,1.34e-05
