Global Step,Epoch,Training Loss,Validation Loss,Gradient Norm,Learning Rate
10,0.032,6.8146,1.6503,63.3605,4.86e-05
20,0.064,4.5334,1.6503,28.5466,4.7e-05
30,0.096,2.8931,1.6503,10.013,4.54e-05
40,0.128,2.2781,1.6503,5.459,4.38e-05
50,0.16,1.8459,1.6503,3.8265,4.22e-05
50,0.16,1.8459,1.6503,3.8265,4.22e-05
60,0.192,1.4612,1.6503,1.6557,4.06e-05
70,0.224,1.5311,1.6503,1.325,3.9e-05
80,0.256,1.4667,1.6503,0.8375,3.74e-05
90,0.288,1.2947,1.6503,0.728,3.58e-05
100,0.32,1.4271,1.6503,0.7366,3.42e-05
100,0.32,1.4271,1.3745,0.7366,3.42e-05
110,0.352,1.3343,1.3745,0.9327,3.26e-05
120,0.384,1.3363,1.3745,0.8699,3.1e-05
130,0.416,1.3013,1.3745,0.8787,2.94e-05
140,0.448,1.3202,1.3745,0.7236,2.78e-05
150,0.48,1.2743,1.3745,0.8219,2.62e-05
150,0.48,1.2743,1.3025,0.8219,2.62e-05
160,0.512,1.4293,1.3025,1.0981,2.46e-05
170,0.544,1.3882,1.3025,0.8057,2.3e-05
180,0.576,1.2888,1.3025,0.8578,2.14e-05
190,0.608,1.2588,1.3025,0.9134,1.98e-05
200,0.64,1.2874,1.3025,0.79,1.82e-05
200,0.64,1.2874,1.2779,0.79,1.82e-05
210,0.672,1.3219,1.2779,0.9317,1.66e-05
220,0.704,1.2604,1.2779,0.7552,1.5e-05
230,0.736,1.2688,1.2779,0.9242,1.34e-05
240,0.768,1.2358,1.2779,0.9704,1.18e-05
250,0.8,1.3551,1.2779,0.8476,1.02e-05
250,0.8,1.3551,1.2656,0.8476,1.02e-05
260,0.832,1.2841,1.2656,1.0898,8.6e-06
270,0.864,1.1682,1.2656,0.835,7e-06
280,0.896,1.2408,1.2656,0.9201,5.4e-06
290,0.928,1.3047,1.2656,0.7818,3.8e-06
300,0.96,1.2241,1.2656,0.8182,2.2e-06
300,0.96,1.2241,1.2607,0.8182,2.2e-06
310,0.992,1.2838,1.2607,1.0061,6e-07
313,1.0,1.2838,1.2606,1.0061,6e-07
