Global Step,Epoch,Training Loss,CE Loss,KD Loss,Gate Loss,Validation Loss,Avg Active Layers,Gumbel Temp,LR
20,1,4.0105,3.9813,0.0000,0.0292,,14.5,1.0000,3.00e-05
40,1,5.2297,5.2075,0.0000,0.0222,,12.0,1.0000,3.00e-05
60,1,1274.0502,4.0503,2544.0000,0.0250,,13.0,1.0000,2.99e-05
80,1,1042.0112,3.9753,2080.0000,0.0236,,12.5,1.0000,2.99e-05
100,1,685.6433,3.2228,1368.0000,0.0319,5.3543,13.3,1.0000,2.98e-05
120,1,806.7445,5.4335,1608.0000,0.0278,5.3543,14.0,1.0000,2.97e-05
140,1,655.7258,7.3905,1304.0000,0.0306,5.3543,15.0,1.0000,2.96e-05
160,1,690.6268,5.2035,1376.0000,0.0250,5.3543,13.0,1.0000,2.95e-05
180,1,462.9512,5.8469,920.0000,0.0278,5.3543,14.0,1.0000,2.93e-05
200,1,239.9377,7.8114,472.0000,0.0319,8.3329,14.2,1.0000,2.92e-05
220,1,479.5804,7.1052,952.0000,0.0278,8.3329,14.0,1.0000,2.90e-05
240,1,327.3543,6.6391,648.0000,0.0347,8.3329,16.5,1.0000,2.88e-05
260,1,100.9406,10.7951,191.0000,0.0431,8.3329,19.5,1.0000,2.86e-05
280,1,43.6636,9.7300,77.5000,0.0486,8.3329,21.5,1.0000,2.84e-05
300,1,39.4429,11.7858,67.0000,0.0500,10.6386,20.8,1.0000,2.81e-05
320,1,42.2952,8.9932,75.5000,0.0486,10.6386,21.5,1.0000,2.79e-05
340,1,13.8720,10.6440,17.0000,0.0500,10.6386,22.0,1.0000,2.76e-05
360,1,38.1223,11.6474,64.5000,0.0486,10.6386,21.5,1.0000,2.74e-05
380,1,36.5028,9.4085,63.5000,0.0486,10.6386,21.5,1.0000,2.71e-05
400,1,6.1674,8.2036,4.0312,0.0500,10.8583,21.8,1.0000,2.68e-05
420,1,7.4547,11.9499,2.8594,0.0500,10.8583,22.0,1.0000,2.64e-05
440,1,8.3922,13.1532,3.5312,0.0500,10.8583,22.0,1.0000,2.61e-05
460,1,6.9336,12.5094,1.2578,0.0500,10.8583,22.0,1.0000,2.58e-05
480,1,6.5963,11.0302,2.0625,0.0500,10.8583,22.0,1.0000,2.54e-05
500,1,4.8966,10.4706,-0.7773,0.0500,10.7655,21.9,1.0000,2.50e-05
520,1,4.4424,10.2848,-1.5000,0.0500,10.7655,22.0,1.0000,2.47e-05
540,1,6.3476,12.9467,-0.3516,0.0500,10.7655,22.0,1.0000,2.43e-05
560,1,4.3334,10.4574,-1.8906,0.0500,10.7655,22.0,1.0000,2.39e-05
580,1,4.9547,11.4735,-1.6641,0.0500,10.7655,22.0,1.0000,2.35e-05
600,1,4.6537,11.0355,-1.8281,0.0500,10.3782,22.0,1.0000,2.30e-05
620,1,2.1302,7.0667,-2.9062,0.0500,10.3782,22.0,1.0000,2.26e-05
640,2,4.9602,11.4142,-1.5938,0.0500,10.3782,22.0,0.9500,2.22e-05
660,2,4.3800,10.8787,-2.2188,0.0500,10.3782,22.0,0.9500,2.17e-05
680,2,4.0472,9.4085,-1.4141,0.0500,10.3782,22.0,0.9500,2.13e-05
700,2,3.8139,9.8716,-2.3438,0.0500,10.0065,22.0,0.9500,2.08e-05
720,2,2.8178,8.4418,-2.9062,0.0500,10.0065,22.0,0.9500,2.03e-05
740,2,5.2596,11.7943,-1.3750,0.0500,10.0065,22.0,0.9500,1.99e-05
760,2,2.7169,7.9275,-2.5938,0.0500,10.0065,22.0,0.9500,1.94e-05
780,2,3.5512,9.4400,-2.4375,0.0500,10.0065,22.0,0.9500,1.89e-05
800,2,3.7846,9.5473,-2.0781,0.0500,9.7171,22.0,0.9500,1.84e-05
820,2,2.5135,7.6770,-2.7500,0.0500,9.7171,22.0,0.9500,1.79e-05
840,2,2.9091,8.4214,-2.7031,0.0500,9.7171,22.0,0.9500,1.74e-05
860,2,4.7860,10.9955,-1.5234,0.0500,9.7171,22.0,0.9500,1.69e-05
880,2,3.1364,8.7197,-2.5469,0.0500,9.7171,22.0,0.9500,1.64e-05
900,2,2.8069,8.0293,-2.5156,0.0500,9.5835,22.0,0.9500,1.59e-05
920,2,4.0773,10.0702,-2.0156,0.0500,9.5835,22.0,0.9500,1.54e-05
940,2,4.3708,10.5556,-1.9141,0.0500,9.5835,22.0,0.9500,1.49e-05
960,2,4.0665,9.4313,-1.3984,0.0500,9.5835,22.0,0.9500,1.44e-05
980,2,3.6328,9.4624,-2.2969,0.0500,9.5835,22.0,0.9500,1.39e-05
1000,2,3.9840,9.7821,-1.9141,0.0500,9.5028,22.0,0.9500,1.34e-05
1020,2,2.5807,7.5301,-2.4688,0.0500,9.5028,22.0,0.9500,1.29e-05
1040,2,1.5991,5.9420,-2.8438,0.0500,9.5028,22.0,0.9500,1.24e-05
1060,2,2.3087,7.2362,-2.7188,0.0500,9.5028,22.0,0.9500,1.19e-05
1080,2,5.0329,11.3486,-1.3828,0.0500,9.5028,22.0,0.9500,1.15e-05
