



Global Step,Epoch,Training Loss,CE Loss,KD Loss,Gate Loss,Target Loss,Validation Loss,Avg Active Layers,Skip Ratio,Gumbel Temp,LR
100,1,1607.9092,4.8119,2272.0000,14.4655,1.6775,6.4652,6.7,0.8579,1.0000,2.98e-05
200,1,981.6204,9.3644,1376.0000,14.8110,1.6470,8.7556,6.6,0.8537,1.0000,2.92e-05
300,1,945.4011,9.5163,1328.0000,14.5463,1.6703,9.4163,6.6,0.8569,1.0000,2.81e-05
400,1,685.5770,9.6836,956.0000,14.6719,1.6592,10.2762,6.5,0.8554,1.0000,2.68e-05
500,1,549.7665,10.6445,760.0000,14.5732,1.6679,10.4370,6.6,0.8566,1.0000,2.50e-05
600,1,666.3683,10.4205,924.0000,15.2422,1.6094,10.5120,6.8,0.8485,1.0000,2.30e-05
700,2,507.9229,10.1096,696.0000,16.8900,1.4700,10.6816,7.0,0.8287,0.9500,2.08e-05
800,2,689.6420,10.5079,952.0000,18.4897,1.3413,10.5051,7.5,0.8095,0.9500,1.84e-05
900,2,723.1826,10.0029,1000.0000,20.1817,1.2120,10.7065,7.9,0.7892,0.9500,1.59e-05
1000,2,398.2328,11.8293,532.0000,22.6840,1.0336,10.8166,8.3,0.7594,0.9500,1.34e-05
1100,2,718.0980,9.5507,988.0000,23.2328,0.9965,10.8406,8.6,0.7529,0.9500,1.10e-05
1200,2,592.3330,10.6870,808.0000,25.1269,0.8740,10.9045,9.0,0.7305,0.9500,8.61e-06
1300,3,515.1011,10.7401,692.0000,27.8790,0.7111,10.7638,9.4,0.6981,0.9025,6.44e-06
1400,3,754.2981,9.3731,1032.0000,27.4862,0.7332,10.9283,9.7,0.7027,0.9025,4.51e-06
1500,3,348.6278,12.3819,448.0000,30.9132,0.5519,10.9808,9.9,0.6627,0.9025,2.86e-06
1600,3,496.0358,11.1842,660.0000,30.6805,0.5633,10.9713,10.1,0.6654,0.9025,1.56e-06
1700,3,479.7767,10.5997,636.0000,30.5968,0.5675,10.9039,10.1,0.6663,0.9025,6.40e-07
1800,3,495.6588,11.5145,656.0000,32.2044,0.4905,10.9051,10.2,0.6476,0.9025,1.18e-07
