Global Step,Epoch,Training Loss,CE Loss,KD Loss,Gate Loss,Validation Loss,Avg Active Layers,Gumbel Temp,LR
20,1,7.3848,7.3598,0.0000,0.0250,,13.0,1.0000,3.00e-05
40,1,5.6188,5.5966,0.0000,0.0222,,12.0,1.0000,3.00e-05
60,1,993.4651,2.8857,1984.0000,0.0222,,12.0,1.0000,2.99e-05
80,1,964.8602,1.6677,1928.0000,0.0264,,13.5,1.0000,2.99e-05
100,1,686.3547,4.6483,1368.0000,0.0306,5.1875,13.2,1.0000,2.98e-05
120,1,942.9808,5.9116,1880.0000,0.0250,5.1875,13.0,1.0000,2.97e-05
140,1,746.4005,4.7509,1488.0000,0.0250,5.1875,13.0,1.0000,2.96e-05
160,1,584.1133,8.1766,1160.0000,0.0250,5.1875,13.0,1.0000,2.95e-05
180,1,627.0184,5.9978,1248.0000,0.0194,5.1875,11.0,1.0000,2.93e-05
200,1,411.7240,7.3979,816.0000,0.0250,8.2126,14.2,1.0000,2.92e-05
