Global Step,Epoch,Training Loss,CE Loss,KD Loss,Gate Loss,Validation Loss,Avg Active Layers,Gumbel Temp,LR
100,1,1140.0670,7.3911,2272.0000,0.3714,7.1935,7.3,1.0000,2.98e-05
200,1,748.9224,9.0131,1488.0000,0.4159,8.5302,7.8,1.0000,2.92e-05
300,1,467.4568,9.8339,924.0000,0.5398,9.5600,8.7,1.0000,2.81e-05
400,1,427.7808,10.3003,844.0000,0.6306,9.7906,9.6,1.0000,2.68e-05
500,1,495.8349,10.1952,980.0000,0.7373,10.3748,11.1,1.0000,2.50e-05
600,1,418.0342,10.1101,824.0000,0.9792,10.0481,12.8,1.0000,2.30e-05
700,2,569.2481,8.4476,1128.0000,1.0243,10.0049,14.7,0.9500,2.08e-05
800,2,309.9744,9.3969,608.0000,1.2759,10.2140,16.6,0.9500,1.84e-05
900,2,230.8104,10.3764,448.0000,1.6222,10.2716,18.0,0.9500,1.59e-05
1000,2,394.0335,9.0524,776.0000,1.5073,10.3040,18.7,0.9500,1.34e-05
1100,2,357.9655,8.8363,704.0000,1.5473,10.5130,19.1,0.9500,1.10e-05
