Global Step,Epoch,Training Loss,Validation Loss,Gradient Norm,Learning Rate
1,0.016,4.6826,6.5955,13.5712,5e-05
2,0.032,6.5441,6.5955,16.6734,4.9e-05
3,0.048,6.7633,6.5955,13.0369,4.8e-05
4,0.064,7.6347,6.5955,10.4637,4.7e-05
5,0.08,6.6236,6.5955,13.0685,4.6e-05
6,0.096,7.3696,6.5955,15.4756,4.5e-05
7,0.112,6.4038,6.5955,10.9259,4.4e-05
8,0.128,6.7024,6.5955,14.6188,4.3e-05
9,0.144,5.8641,6.5955,9.6838,4.2e-05
10,0.16,6.7466,6.5955,12.4716,4.1e-05
10,0.16,6.7466,6.5955,12.4716,4.1e-05
11,0.176,6.2567,6.5955,13.2126,4e-05
12,0.192,6.8294,6.5955,13.1687,3.9e-05
13,0.208,7.4305,6.5955,9.6376,3.8e-05
14,0.224,7.2032,6.5955,12.2704,3.7e-05
15,0.24,6.5657,6.5955,10.2363,3.6e-05
16,0.256,6.9729,6.5955,11.0225,3.5e-05
17,0.272,6.8995,6.5955,9.7908,3.4e-05
18,0.288,6.9355,6.5955,16.4045,3.3e-05
19,0.304,6.2003,6.5955,12.9893,3.2e-05
20,0.32,6.6473,6.5955,12.3379,3.1e-05
20,0.32,6.6473,6.5327,12.3379,3.1e-05
21,0.336,5.4518,6.5327,11.3768,3e-05
22,0.352,9.6317,6.5327,13.9362,2.9e-05
23,0.368,7.512,6.5327,20.6446,2.8e-05
24,0.384,5.5641,6.5327,14.9402,2.7e-05
25,0.4,6.7963,6.5327,16.5806,2.6e-05
26,0.416,6.541,6.5327,9.6549,2.5e-05
27,0.432,6.3283,6.5327,14.3988,2.4e-05
28,0.448,6.7747,6.5327,16.2833,2.3e-05
29,0.464,7.1313,6.5327,17.3997,2.2e-05
30,0.48,6.5761,6.5327,9.4291,2.1e-05
30,0.48,6.5761,6.4779,9.4291,2.1e-05
31,0.496,5.7931,6.4779,10.4029,2e-05
32,0.512,7.43,6.4779,12.2984,1.9e-05
33,0.528,6.7305,6.4779,14.8045,1.8e-05
34,0.544,7.0166,6.4779,15.0456,1.7e-05
35,0.56,6.7192,6.4779,9.5028,1.6e-05
36,0.576,5.8774,6.4779,12.7633,1.5e-05
37,0.592,5.5344,6.4779,14.9632,1.4e-05
38,0.608,6.4799,6.4779,10.9715,1.3e-05
39,0.624,4.872,6.4779,18.747,1.2e-05
40,0.64,6.7314,6.4779,14.7145,1.1e-05
40,0.64,6.7314,6.4371,14.7145,1.1e-05
41,0.656,6.4403,6.4371,9.9272,1e-05
42,0.672,7.7541,6.4371,20.325,9e-06
43,0.688,5.4043,6.4371,12.8795,8e-06
44,0.704,7.8867,6.4371,18.047,7e-06
45,0.72,6.5642,6.4371,18.3589,6e-06
46,0.736,6.9581,6.4371,16.4347,5e-06
47,0.752,7.185,6.4371,22.9087,4e-06
48,0.768,4.9691,6.4371,19.097,3e-06
49,0.784,7.5917,6.4371,9.4401,2e-06
50,0.8,7.3023,6.4371,14.2992,1e-06
50,0.8,7.3023,6.4238,14.2992,1e-06
