Global Step,Epoch,Training Loss,CE Loss,Validation Loss,LR
20,1,7.3944,7.3944,,3.00e-05
40,1,1.3042,1.3042,,3.00e-05
60,1,1.2572,1.2572,,2.99e-05
80,1,0.6304,0.6304,,2.99e-05
100,1,0.8223,0.8223,0.6996,2.98e-05
120,1,1.2377,1.2377,0.6996,2.97e-05
140,1,0.5360,0.5360,0.6996,2.96e-05
160,1,0.5730,0.5730,0.6996,2.95e-05
180,1,1.1792,1.1792,0.6996,2.93e-05
200,1,0.3296,0.3296,0.6419,2.92e-05
220,1,0.8535,0.8535,0.6419,2.90e-05
240,1,0.6826,0.6826,0.6419,2.88e-05
260,1,0.4540,0.4540,0.6419,2.86e-05
280,1,0.8431,0.8431,0.6419,2.84e-05
300,1,0.6748,0.6748,0.6280,2.81e-05
320,1,0.5676,0.5676,0.6280,2.79e-05
340,1,1.0406,1.0406,0.6280,2.76e-05
360,1,0.5270,0.5270,0.6280,2.74e-05
380,1,0.6458,0.6458,0.6280,2.71e-05
400,1,0.5295,0.5295,0.6229,2.68e-05
420,1,0.8334,0.8334,0.6229,2.64e-05
440,1,0.6784,0.6784,0.6229,2.61e-05
460,1,0.8291,0.8291,0.6229,2.58e-05
480,1,1.2446,1.2446,0.6229,2.54e-05
500,1,0.5394,0.5394,0.6199,2.50e-05
520,1,0.7173,0.7173,0.6199,2.47e-05
540,1,0.4326,0.4326,0.6199,2.43e-05
560,1,0.4705,0.4705,0.6199,2.39e-05
580,1,0.6661,0.6661,0.6199,2.35e-05
600,1,0.4468,0.4468,0.6181,2.30e-05
620,1,0.4644,0.4644,0.6181,2.26e-05
640,2,0.8111,0.8111,0.6181,2.22e-05
660,2,0.8892,0.8892,0.6181,2.17e-05
680,2,1.1139,1.1139,0.6181,2.13e-05
700,2,0.7520,0.7520,0.6169,2.08e-05
720,2,0.6263,0.6263,0.6169,2.03e-05
740,2,0.5759,0.5759,0.6169,1.99e-05
760,2,0.6777,0.6777,0.6169,1.94e-05
780,2,0.9567,0.9567,0.6169,1.89e-05
800,2,0.5792,0.5792,0.6159,1.84e-05
820,2,0.4466,0.4466,0.6159,1.79e-05
840,2,0.7818,0.7818,0.6159,1.74e-05
860,2,1.2726,1.2726,0.6159,1.69e-05
880,2,0.7091,0.7091,0.6159,1.64e-05
900,2,0.6156,0.6156,0.6153,1.59e-05
920,2,0.4264,0.4264,0.6153,1.54e-05
940,2,1.0036,1.0036,0.6153,1.49e-05
960,2,0.7553,0.7553,0.6153,1.44e-05
980,2,1.2648,1.2648,0.6153,1.39e-05
1000,2,0.7452,0.7452,0.6144,1.34e-05
1020,2,1.0021,1.0021,0.6144,1.29e-05
1040,2,0.7513,0.7513,0.6144,1.24e-05
1060,2,0.4924,0.4924,0.6144,1.19e-05
1080,2,0.6741,0.6741,0.6144,1.15e-05
1100,2,0.7728,0.7728,0.6143,1.10e-05
1120,2,0.8853,0.8853,0.6143,1.05e-05
1140,2,0.3426,0.3426,0.6143,1.00e-05
1160,2,0.9464,0.9464,0.6143,9.54e-06
1180,2,0.7193,0.7193,0.6143,9.07e-06
1200,2,0.1649,0.1649,0.6141,8.61e-06
1220,2,0.8846,0.8846,0.6141,8.16e-06
1240,2,0.5400,0.5400,0.6141,7.72e-06
1260,3,0.6422,0.6422,0.6141,7.28e-06
1280,3,0.6433,0.6433,0.6141,6.86e-06
1300,3,1.0815,1.0815,0.6138,6.44e-06
1320,3,0.6938,0.6938,0.6138,6.03e-06
1340,3,1.5464,1.5464,0.6138,5.63e-06
1360,3,0.5706,0.5706,0.6138,5.25e-06
1380,3,0.4555,0.4555,0.6138,4.87e-06
1400,3,0.8845,0.8845,0.6136,4.51e-06
1420,3,0.7995,0.7995,0.6136,4.15e-06
1440,3,0.3143,0.3143,0.6136,3.81e-06
1460,3,0.5188,0.5188,0.6136,3.48e-06
1480,3,0.8783,0.8783,0.6136,3.17e-06
1500,3,0.8309,0.8309,0.6135,2.86e-06
1520,3,0.4595,0.4595,0.6135,2.58e-06
1540,3,0.5885,0.5885,0.6135,2.30e-06
1560,3,0.6337,0.6337,0.6135,2.04e-06
1580,3,1.1202,1.1202,0.6135,1.80e-06
