Global Step,Epoch,Training Loss,CE Loss,KD Loss,Gate Loss,Validation Loss,Avg Active Layers,Gumbel Temp,LR
20,1,5.5979,5.5729,0.0000,0.0250,,13.0,1.0000,3.00e-05
40,1,6.1644,6.1422,0.0000,0.0222,,12.0,1.0000,3.00e-05
60,1,1225.8193,3.5747,2448.0000,0.0319,,15.5,1.0000,2.99e-05
80,1,1058.6016,5.1560,2112.0000,0.0236,,12.5,1.0000,2.99e-05
100,1,1049.7479,3.4570,2096.0000,0.0194,5.3347,13.0,1.0000,2.98e-05
120,1,938.6615,5.2702,1872.0000,0.0264,5.3347,13.5,1.0000,2.97e-05
140,1,718.2573,4.4673,1432.0000,0.0236,5.3347,12.5,1.0000,2.96e-05
160,1,602.2259,4.3991,1200.0000,0.0264,5.3347,13.5,1.0000,2.95e-05
180,1,666.6084,5.1752,1328.0000,0.0208,5.3347,11.5,1.0000,2.93e-05
200,1,634.1431,4.2389,1264.0000,0.0236,7.5444,13.2,1.0000,2.92e-05
220,1,391.0664,6.0884,776.0000,0.0222,7.5444,12.0,1.0000,2.90e-05
240,1,439.0881,10.1345,868.0000,0.0208,7.5444,11.5,1.0000,2.88e-05
260,1,436.0066,7.9660,864.0000,0.0236,7.5444,12.5,1.0000,2.86e-05
280,1,383.9020,7.7456,760.0000,0.0292,7.5444,14.5,1.0000,2.84e-05
300,1,285.2109,6.3496,564.0000,0.0361,9.3097,14.2,1.0000,2.81e-05
320,1,131.0734,9.0717,253.0000,0.0375,9.3097,17.5,1.0000,2.79e-05
340,1,117.3643,9.6453,225.0000,0.0417,9.3097,19.0,1.0000,2.76e-05
360,1,114.0176,8.9491,219.0000,0.0431,9.3097,19.5,1.0000,2.74e-05
380,1,102.8171,10.5563,195.0000,0.0389,9.3097,18.0,1.0000,2.71e-05
400,1,93.6843,9.2880,178.0000,0.0403,9.8778,18.1,1.0000,2.68e-05
420,1,84.3185,10.5398,158.0000,0.0486,9.8778,21.5,1.0000,2.64e-05
440,1,53.1279,8.6587,97.5000,0.0486,9.8778,21.5,1.0000,2.61e-05
460,1,107.4709,7.8529,207.0000,0.0444,9.8778,20.0,1.0000,2.58e-05
480,1,69.3827,8.6708,130.0000,0.0472,9.8778,21.0,1.0000,2.54e-05
500,1,37.6280,11.6559,63.5000,0.0500,10.0978,20.1,1.0000,2.50e-05
520,1,31.3650,9.1299,53.5000,0.0500,10.0978,22.0,1.0000,2.47e-05
540,1,36.7412,10.3852,63.0000,0.0486,10.0978,21.5,1.0000,2.43e-05
560,1,82.4988,8.9031,156.0000,0.0472,10.0978,21.0,1.0000,2.39e-05
580,1,15.9459,9.1667,22.6250,0.0500,10.0978,22.0,1.0000,2.35e-05
600,1,33.2279,10.3586,56.0000,0.0486,10.3352,21.1,1.0000,2.30e-05
620,1,15.4397,8.6543,22.1250,0.0500,10.3352,22.0,1.0000,2.26e-05
640,2,13.8950,10.4400,17.2500,0.0500,10.3352,22.0,0.9500,2.22e-05
660,2,40.0663,8.5381,71.5000,0.0472,10.3352,21.0,0.9500,2.17e-05
680,2,51.7308,8.3644,95.0000,0.0486,10.3352,21.5,0.9500,2.13e-05
700,2,14.0983,12.3466,15.7500,0.0500,10.5931,21.6,0.9500,2.08e-05
720,2,8.0901,8.1739,7.9062,0.0500,10.5931,22.0,0.9500,2.03e-05
740,2,7.9487,9.8599,5.9375,0.0500,10.5931,22.0,0.9500,1.99e-05
760,2,14.2008,10.5515,17.7500,0.0500,10.5931,22.0,0.9500,1.94e-05
780,2,9.0401,10.7302,7.2500,0.0500,10.5931,22.0,0.9500,1.89e-05
800,2,204.8663,5.6492,404.0000,0.0417,10.5467,21.8,0.9500,1.84e-05
820,2,6.7648,10.4765,2.9531,0.0500,10.5467,22.0,0.9500,1.79e-05
840,2,7.6460,8.8171,6.3750,0.0500,10.5467,22.0,0.9500,1.74e-05
860,2,9.2266,10.6970,7.6562,0.0500,10.5467,22.0,0.9500,1.69e-05
880,2,7.9460,7.1045,8.6875,0.0500,10.5467,22.0,0.9500,1.64e-05
900,2,5.2387,8.2992,2.0781,0.0500,10.6012,21.9,0.9500,1.59e-05
920,2,5.4637,8.5774,2.2500,0.0500,10.6012,22.0,0.9500,1.54e-05
940,2,37.6158,5.6343,69.5000,0.0486,10.6012,21.5,0.9500,1.49e-05
960,2,6.0938,9.9314,2.1562,0.0500,10.6012,22.0,0.9500,1.44e-05
980,2,6.1272,10.9746,1.1797,0.0500,10.6012,22.0,0.9500,1.39e-05
1000,2,5.3834,9.5965,1.0703,0.0500,10.6004,21.9,0.9500,1.34e-05
1020,2,4.6202,7.4373,1.7031,0.0500,10.6004,22.0,0.9500,1.29e-05
1040,2,5.6093,10.7710,0.3477,0.0500,10.6004,22.0,0.9500,1.24e-05
1060,2,4.6968,8.8658,0.4277,0.0500,10.6004,22.0,0.9500,1.19e-05
1080,2,5.8607,11.0863,0.5352,0.0500,10.6004,22.0,0.9500,1.15e-05
1100,2,4.4487,8.8135,-0.0161,0.0500,10.4260,22.0,0.9500,1.10e-05
1120,2,35.1189,8.6407,61.5000,0.0486,10.4260,21.5,0.9500,1.05e-05
1140,2,3.6977,7.3814,-0.0859,0.0500,10.4260,22.0,0.9500,1.00e-05
1160,2,5.9352,10.9813,0.7891,0.0500,10.4260,22.0,0.9500,9.54e-06
1180,2,8.2917,8.0459,8.4375,0.0500,10.4260,22.0,0.9500,9.07e-06
1200,2,5.1701,9.8925,0.3477,0.0500,10.3854,22.0,0.9500,8.61e-06
1220,2,6.0326,10.7698,1.1953,0.0500,10.3854,22.0,0.9500,8.16e-06
1240,2,5.3413,10.9069,-0.3242,0.0500,10.3854,22.0,0.9500,7.72e-06
1260,3,2.7326,6.1231,-0.7578,0.0500,10.3854,22.0,0.9025,7.28e-06
1280,3,5.4403,10.9241,-0.1436,0.0500,10.3854,22.0,0.9025,6.86e-06
1300,3,5.2306,10.4252,-0.0640,0.0500,10.3223,22.0,0.9025,6.44e-06
1320,3,4.8636,9.8889,-0.2617,0.0500,10.3223,22.0,0.9025,6.03e-06
1340,3,4.3865,9.0793,-0.4062,0.0500,10.3223,22.0,0.9025,5.63e-06
1360,3,5.7047,11.1433,0.1660,0.0500,10.3223,22.0,0.9025,5.25e-06
1380,3,45.8709,6.6446,85.0000,0.0486,10.3223,21.5,0.9025,4.87e-06
1400,3,3.9517,8.6198,-0.8164,0.0500,10.2870,22.0,0.9025,4.51e-06
1420,3,4.6906,9.4316,-0.1504,0.0500,10.2870,22.0,0.9025,4.15e-06
1440,3,4.4008,8.8115,-0.1099,0.0500,10.2870,22.0,0.9025,3.81e-06
1460,3,3.6709,8.5310,-1.2891,0.0500,10.2870,22.0,0.9025,3.48e-06
1480,3,4.7795,9.7402,-0.2812,0.0500,10.2870,22.0,0.9025,3.17e-06
1500,3,6.0936,11.8177,0.2695,0.0500,10.2020,22.0,0.9025,2.86e-06
1520,3,4.8700,10.2845,-0.6445,0.0500,10.2020,22.0,0.9025,2.58e-06
1540,3,7.8541,10.2332,5.3750,0.0500,10.2020,22.0,0.9025,2.30e-06
1560,3,53.3207,5.5469,101.0000,0.0472,10.2020,21.0,0.9025,2.04e-06
1580,3,5.9272,12.1528,-0.3984,0.0500,10.2020,22.0,0.9025,1.80e-06
1600,3,5.8493,11.4579,0.1406,0.0500,10.1668,22.0,0.9025,1.56e-06
1620,3,5.0955,9.9846,0.1064,0.0500,10.1668,22.0,0.9025,1.35e-06
1640,3,4.9036,9.7970,-0.0898,0.0500,10.1668,22.0,0.9025,1.15e-06
1660,3,4.2522,9.1465,-0.7422,0.0500,10.1668,22.0,0.9025,9.63e-07
1680,3,4.3171,8.3252,0.2090,0.0500,10.1668,22.0,0.9025,7.94e-07
1700,3,23.8280,7.8089,39.7500,0.0486,10.1511,22.0,0.9025,6.40e-07
1720,3,6.9191,11.7538,1.9844,0.0500,10.1511,22.0,0.9025,5.03e-07
1740,3,3.5830,8.0972,-1.0312,0.0500,10.1511,22.0,0.9025,3.82e-07
1760,3,4.7858,9.0028,0.4688,0.0500,10.1511,22.0,0.9025,2.78e-07
1780,3,7.4092,10.1246,4.5938,0.0500,10.1511,22.0,0.9025,1.90e-07
1800,3,4.5807,9.6357,-0.5742,0.0500,10.1488,22.0,0.9025,1.18e-07
1820,3,6.1817,12.2737,-0.0104,0.0500,10.1488,22.0,0.9025,6.36e-08
1840,3,4.5133,9.3094,-0.3828,0.0500,10.1488,22.0,0.9025,2.58e-08
1860,3,3.1650,7.3159,-1.0859,0.0500,10.1488,22.0,0.9025,4.74e-09
