Global Step,Epoch,Training Loss,CE Loss,KD Loss,Gate Loss,Target Loss,Validation Loss,Avg Active Layers,Skip Ratio,Gumbel Temp,LR
50,1,35.1471,8.2685,0.0000,26.8786,1.5613,8.1632,9.1,0.8418,1.0000,2.99e-05
100,1,2476.4993,4.9668,3504.0000,27.0093,1.5552,5.2594,9.2,0.8409,1.0000,2.98e-05
150,1,2143.5452,5.2297,3024.0000,29.9762,1.4215,4.4302,9.7,0.8215,1.0000,2.95e-05
200,1,1615.0376,3.4105,2256.0000,38.0145,1.0906,3.3675,11.3,0.7692,1.0000,2.92e-05
250,1,1081.3810,3.8697,1464.0000,56.2201,0.5072,3.8140,15.3,0.6518,1.0000,2.87e-05
300,1,978.0060,4.2616,1272.0000,84.7275,0.0400,4.0414,21.4,0.4707,1.0000,2.81e-05
350,1,1107.0914,4.1891,1424.0000,109.8347,0.0593,4.1076,26.2,0.3139,1.0000,2.75e-05
400,1,994.4663,4.1674,1248.0000,121.2161,0.1956,4.3342,28.3,0.2436,1.0000,2.68e-05
450,1,720.1899,4.1530,844.0000,126.9440,0.2936,4.2934,29.3,0.2084,1.0000,2.59e-05
500,1,707.9388,4.5604,820.0000,130.5707,0.3656,4.3934,30.2,0.1862,1.0000,2.50e-05
550,1,835.5703,3.6874,996.0000,138.4641,0.5490,4.5542,31.1,0.1380,1.0000,2.41e-05
600,1,657.3623,4.9060,740.0000,135.8905,0.4852,4.6448,31.7,0.1537,1.0000,2.30e-05
650,2,630.4368,4.0659,692.0000,145.2170,0.7345,4.6057,32.6,0.0970,0.9500,2.19e-05
700,2,755.3768,5.0338,864.0000,149.8667,0.8775,4.8317,33.6,0.0688,0.9500,2.08e-05
750,2,464.7911,4.4972,442.0000,153.4420,0.9957,4.9626,34.3,0.0472,0.9500,1.96e-05
800,2,519.4149,5.7227,516.0000,155.6980,1.0740,5.2186,35.0,0.0336,0.9500,1.84e-05
850,2,352.5111,5.0788,276.0000,157.9874,1.1564,5.4353,35.4,0.0198,0.9500,1.72e-05
900,2,356.2738,6.2220,278.0000,159.4072,1.2089,5.6039,35.6,0.0113,0.9500,1.59e-05
950,2,297.5415,4.5776,194.0000,160.1682,1.2376,5.6653,35.7,0.0067,0.9500,1.47e-05
1000,2,302.7671,4.9067,201.0000,160.2951,1.2424,5.7106,35.8,0.0059,0.9500,1.34e-05
1050,2,258.1080,5.2648,137.0000,160.5286,1.2513,5.7664,35.8,0.0045,0.9500,1.22e-05
1100,2,261.0291,5.8559,141.0000,160.7723,1.2605,5.7969,35.9,0.0031,0.9500,1.10e-05
1150,2,231.3713,5.0931,98.5000,160.8433,1.2633,5.8048,35.9,0.0026,0.9500,9.77e-06
1200,2,223.9639,6.0661,87.5000,160.8941,1.2652,5.8153,35.9,0.0023,0.9500,8.61e-06
1250,2,213.0852,5.3831,72.0000,160.9703,1.2681,5.8257,35.9,0.0019,0.9500,7.50e-06
1300,3,211.6034,6.2431,69.5000,160.9804,1.2685,5.8253,35.9,0.0018,0.9025,6.44e-06
1350,3,210.7837,5.3975,69.0000,160.9144,1.2660,5.8352,35.9,0.0022,0.9025,5.44e-06
1400,3,236.0338,6.5739,104.0000,161.0617,1.2716,5.8390,35.9,0.0013,0.9025,4.51e-06
1450,3,216.6073,7.2250,76.5000,160.9398,1.2669,5.8362,36.0,0.0020,0.9025,3.65e-06
1500,3,217.2036,6.3913,77.5000,161.0363,1.2706,5.8377,36.0,0.0015,0.9025,2.86e-06
1550,3,210.8701,5.2118,69.0000,161.0566,1.2714,5.8343,36.0,0.0013,0.9025,2.17e-06
1600,3,220.4025,4.7912,83.0000,160.9652,1.2679,5.8425,36.0,0.0019,0.9025,1.56e-06
1650,3,215.7132,6.1353,75.5000,161.1226,1.2740,5.8421,36.0,0.0009,0.9025,1.05e-06
1700,3,198.2788,5.7071,50.7500,161.0667,1.2718,5.8379,36.0,0.0013,0.9025,6.40e-07
1750,3,198.2415,7.8796,49.7500,161.1277,1.2741,5.8341,36.0,0.0009,0.9025,3.28e-07
1800,3,204.8507,4.9441,60.2500,161.1175,1.2738,5.8355,36.0,0.0010,0.9025,1.18e-07
1850,3,207.7036,4.6058,64.5000,161.0718,1.2720,5.8318,36.0,0.0013,0.9025,1.32e-08
