Global Step,Epoch,Training Loss,Validation Loss,Gradient Norm,Learning Rate
1,0.016,8.1939,5.346,72.8259,5e-05
2,0.032,7.8071,5.346,35.4247,4.9e-05
3,0.048,8.1213,5.346,63.8375,4.8e-05
4,0.064,7.2187,5.346,49.3769,4.7e-05
5,0.08,5.4457,5.346,51.5673,4.6e-05
6,0.096,6.7471,5.346,66.3027,4.5e-05
7,0.112,5.6025,5.346,66.3064,4.4e-05
8,0.128,6.0853,5.346,63.5964,4.3e-05
9,0.144,4.6187,5.346,56.8727,4.2e-05
10,0.16,5.2204,5.346,98.314,4.1e-05
10,0.16,5.2204,5.346,98.314,4.1e-05
11,0.176,4.585,5.346,66.7067,4e-05
12,0.192,5.7164,5.346,83.3155,3.9e-05
13,0.208,4.0304,5.346,49.0256,3.8e-05
14,0.224,4.2324,5.346,61.6293,3.7e-05
15,0.24,4.6803,5.346,43.4603,3.6e-05
16,0.256,4.7731,5.346,64.4128,3.5e-05
17,0.272,4.1812,5.346,67.9529,3.4e-05
18,0.288,3.6046,5.346,47.8005,3.3e-05
19,0.304,3.8204,5.346,52.6445,3.2e-05
20,0.32,3.7712,5.346,40.4818,3.1e-05
20,0.32,3.7712,3.473,40.4818,3.1e-05
21,0.336,3.4525,3.473,23.1352,3e-05
22,0.352,3.0117,3.473,23.5276,2.9e-05
23,0.368,3.3284,3.473,38.8266,2.8e-05
24,0.384,3.083,3.473,11.2149,2.7e-05
25,0.4,3.7031,3.473,31.5393,2.6e-05
26,0.416,2.9545,3.473,7.3401,2.5e-05
27,0.432,3.0276,3.473,9.1051,2.4e-05
28,0.448,3.081,3.473,7.5149,2.3e-05
29,0.464,3.2474,3.473,19.3881,2.2e-05
30,0.48,2.8051,3.473,6.9596,2.1e-05
30,0.48,2.8051,2.8652,6.9596,2.1e-05
31,0.496,2.9758,2.8652,8.8307,2e-05
32,0.512,2.7611,2.8652,8.8702,1.9e-05
33,0.528,2.7842,2.8652,7.1881,1.8e-05
34,0.544,3.0456,2.8652,18.9292,1.7e-05
35,0.56,2.9123,2.8652,9.152,1.6e-05
36,0.576,3.0304,2.8652,10.2946,1.5e-05
37,0.592,2.9366,2.8652,14.3535,1.4e-05
38,0.608,2.528,2.8652,13.434,1.3e-05
39,0.624,3.45,2.8652,35.1789,1.2e-05
40,0.64,2.8102,2.8652,8.0008,1.1e-05
40,0.64,2.8102,2.651,8.0008,1.1e-05
41,0.656,2.6035,2.651,5.1376,1e-05
42,0.672,2.6561,2.651,9.6346,9e-06
43,0.688,2.6281,2.651,8.0672,8e-06
44,0.704,3.2771,2.651,10.1991,7e-06
45,0.72,2.6695,2.651,11.2451,6e-06
46,0.736,2.9848,2.651,8.8433,5e-06
47,0.752,2.3366,2.651,8.3558,4e-06
48,0.768,2.9958,2.651,19.9704,3e-06
49,0.784,3.1804,2.651,10.5685,2e-06
50,0.8,2.6138,2.651,16.3026,1e-06
50,0.8,2.6138,2.5751,16.3026,1e-06
