Global Step,Epoch,Training Loss,Validation Loss,Gradient Norm,Learning Rate
10,0.032,6.9645,7.2902,12.83,4.86e-05
20,0.064,6.5676,7.2902,11.0609,4.7e-05
30,0.096,5.6732,7.2902,12.3091,4.54e-05
40,0.128,6.6016,7.2902,18.6799,4.38e-05
50,0.16,5.9334,7.2902,17.3875,4.22e-05
50,0.16,5.9334,7.2902,17.3875,4.22e-05
60,0.192,5.7865,7.2902,18.8495,4.06e-05
70,0.224,5.6221,7.2902,16.9916,3.9e-05
80,0.256,5.0236,7.2902,14.1116,3.74e-05
90,0.288,5.2072,7.2902,28.9532,3.58e-05
100,0.32,5.2158,7.2902,33.7862,3.42e-05
100,0.32,5.2158,3.1756,33.7862,3.42e-05
110,0.352,4.7651,3.1756,11.5247,3.26e-05
120,0.384,4.3809,3.1756,21.8514,3.1e-05
130,0.416,4.2532,3.1756,17.7935,2.94e-05
140,0.448,4.514,3.1756,14.0995,2.78e-05
150,0.48,4.243,3.1756,13.4621,2.62e-05
150,0.48,4.243,2.2007,13.4621,2.62e-05
160,0.512,4.1973,2.2007,12.3733,2.46e-05
170,0.544,4.0026,2.2007,16.7164,2.3e-05
180,0.576,3.917,2.2007,5.9972,2.14e-05
190,0.608,3.881,2.2007,15.2269,1.98e-05
200,0.64,3.8116,2.2007,14.2125,1.82e-05
200,0.64,3.8116,1.932,14.2125,1.82e-05
210,0.672,3.8895,1.932,17.8926,1.66e-05
220,0.704,3.6693,1.932,10.0925,1.5e-05
230,0.736,3.7326,1.932,9.8037,1.34e-05
240,0.768,3.6937,1.932,18.6355,1.18e-05
250,0.8,3.8098,1.932,24.8226,1.02e-05
250,0.8,3.8098,1.8312,24.8226,1.02e-05
260,0.832,3.5658,1.8312,9.6397,8.6e-06
270,0.864,3.4533,1.8312,9.8934,7e-06
280,0.896,3.7096,1.8312,13.0008,5.4e-06
290,0.928,3.8913,1.8312,14.6064,3.8e-06
300,0.96,3.6885,1.8312,21.2869,2.2e-06
300,0.96,3.6885,1.8048,21.2869,2.2e-06
310,0.992,3.8626,1.8048,21.221,6e-07
