Epoch,Global Step,Training Loss,Validation Loss,Active Layers
1,10,5.4615,6.5834,14
1,20,9.9371,6.5834,10
1,30,6.3262,6.5834,10
1,40,7.0574,6.5834,12
1,50,3.9713,6.5834,16
1,60,5.2408,6.5834,11
1,70,5.3968,6.5834,12
1,80,5.8995,6.5834,11
1,90,4.5901,6.5834,14
1,100,4.5289,5.3736,14
1,110,3.7212,5.3736,14
1,120,2.1612,5.3736,18
1,130,2.476,5.3736,14
1,140,4.5414,5.3736,12
1,150,3.948,4.8067,14
1,160,5.2801,4.8067,11
1,170,3.0972,4.8067,11
1,180,3.1939,4.8067,12
1,190,3.3705,4.8067,13
1,200,2.0736,4.3464,11
1,210,2.7969,4.3464,15
1,220,3.3688,4.3464,15
1,230,1.617,4.3464,14
1,240,3.0314,4.3464,12
1,250,6.0749,3.9484,10
1,260,3.5558,3.9484,13
1,270,2.4174,3.9484,12
1,280,3.4722,3.9484,14
1,290,4.6957,3.9484,9
1,300,3.1279,3.7381,15
1,310,3.7141,3.7381,14
